Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
26	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
27	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
28	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
29	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
30	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
31	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
32	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
33	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
34	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
35	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
36	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
37	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
38	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
39	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
40	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
41	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
42	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
43	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
44	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
45	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
46	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
47	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
48	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
49	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
50	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
51	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
52	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
53	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
54	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
55	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
56	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
57	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
58	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
59	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
60	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
61	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
62	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
63	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
64	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
65	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
66	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
67	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
68	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
69	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
70	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
71	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
72	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
73	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
74	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
75	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
76	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
77	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
78	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
79	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
80	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
81	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
82	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
83	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
84	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
85	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
86	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
87	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
88	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
89	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
90	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
91	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
92	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
93	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
94	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
95	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
96	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
97	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
98	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
99	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
100	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
101	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
102	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
103	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
104	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
105	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
106	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
107	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
108	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
109	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
110	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
111	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
112	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
113	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
114	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
115	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
116	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
117	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
118	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
119	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
120	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
121	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
122	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
123	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
