Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Traveler
35	0	734	940	733	852	776	820	788	0	0	2990	0	2990	0	0
36	0	749	970	754	879	800	854	809	0	0	3240	0	3240	0	0
37	0	779	1015	790	906	839	888	830	0	0	3510	0	3510	0	0
38	0	809	1045	811	933	863	922	866	0	0	3805	0	3805	0	0
39	0	824	1075	832	960	887	941	887	0	0	4125	0	4125	0	0
40	0	854	1105	853	987	911	975	923	0	0	4470	0	4470	0	0
41	0	869	1135	874	1014	950	1009	944	0	0	4845	0	4845	0	0
42	0	899	1180	895	1041	974	1028	965	0	0	5250	0	5250	0	0
43	0	914	1210	916	1068	998	1062	1001	0	0	5690	0	5690	0	0
44	0	944	1240	937	1110	1022	1096	1022	0	0	6170	0	6170	0	0
45	0	959	1270	958	1137	1046	1115	1043	0	0	6685	0	6685	0	0
46	0	989	1300	979	1164	1070	1149	1064	0	0	7245	0	7245	0	0
47	0	1004	1330	1000	1176	1094	1183	1100	0	0	7855	0	7855	0	0
48	0	1019	1360	1021	1203	1118	1202	1121	0	0	8510	0	8510	0	0
49	0	1049	1390	1042	1230	1142	1236	1142	0	0	9225	0	9225	0	0
50	0	1064	1420	1048	1257	1166	1255	1163	0	0	10000	0	10000	0	0
51	0	1079	1450	1069	1284	1190	1289	1184	0	0	11745	0	11745	0	0
52	0	1109	1480	1090	1311	1214	1323	1205	0	0	13795	0	13795	0	0
53	0	1124	1510	1111	1338	1238	1342	1226	0	0	16205	0	16205	0	0
54	0	1139	1540	1117	1365	1262	1376	1247	0	0	19035	0	19035	0	0
55	0	1154	1570	1138	1392	1271	1395	1268	0	0	22360	0	22360	0	0
56	0	1169	1600	1159	1419	1295	1414	1289	0	0	26265	0	26265	0	0
57	0	1199	1630	1165	1446	1319	1448	1310	0	0	30850	0	30850	0	0
58	0	1214	1660	1186	1458	1343	1467	1331	0	0	36235	0	36235	0	0
59	0	1229	1690	1192	1485	1352	1501	1352	0	0	42565	0	42565	0	0
60	0	1244	1720	1213	1512	1376	1520	1373	0	0	50000	0	50000	0	0
61	0	1259	1750	1219	1539	1400	1539	1394	0	0	58730	0	58730	0	0
62	0	1274	1780	1240	1566	1409	1573	1415	0	0	68985	0	68985	0	0
63	0	1289	1810	1246	1578	1433	1592	1421	0	0	81030	0	81030	0	0
64	0	1304	1840	1267	1605	1442	1611	1442	0	0	95180	0	95180	0	0
65	0	1319	1855	1273	1632	1466	1630	1463	0	0	111800	0	111800	0	0
66	0	1334	1885	1279	1644	1475	1664	1484	0	0	131325	0	131325	0	0
67	0	1349	1915	1300	1671	1499	1683	1490	0	0	154255	0	154255	0	0
68	0	1364	1945	1306	1698	1508	1702	1511	0	0	181190	0	181190	0	0
69	0	1379	1975	1312	1710	1532	1721	1532	0	0	212830	0	212830	0	0
70	0	1394	1990	1318	1737	1541	1740	1538	0	0	250000	0	250000	0	0
71	0	1394	2020	1339	1764	1550	1774	1559	0	0	293650	0	293650	0	0
72	0	1409	2050	1345	1776	1574	1793	1565	0	0	344930	0	344930	0	0
73	0	1424	2080	1351	1803	1583	1812	1586	0	0	405160	0	405160	0	0
74	0	1439	2095	1357	1815	1592	1831	1592	0	0	475910	0	475910	0	0
75	0	1439	2125	1363	1842	1601	1850	1613	0	0	559015	0	559015	0	0
76	0	1454	2155	1369	1854	1610	1869	1619	0	0	656630	0	656630	0	0
77	0	1469	2170	1375	1881	1619	1888	1625	0	0	771290	0	771290	0	0
78	0	1469	2200	1366	1893	1628	1907	1646	0	0	905970	0	905970	0	0
79	0	1484	2230	1372	1920	1637	1926	1652	0	0	1064170	0	1064170	0	0
80	0	1484	2245	1378	1932	1646	1930	1658	0	0	2500000	0	2500000	0	0
81	0	1499	2275	1384	1959	1655	1949	1679	0	0	2500000	0	2500000	0	0
82	0	1499	2290	1390	1971	1664	1968	1685	0	0	2500000	0	2500000	0	0
83	0	1514	2320	1381	1998	1673	1987	1691	0	0	2500000	0	2500000	0	0
84	0	1514	2335	1387	2010	1682	2006	1697	0	0	2500000	0	2500000	0	0
85	0	1529	2365	1378	2022	1691	2010	1703	0	0	2500000	0	2500000	0	0
86	0	1529	2380	1384	2049	1685	2029	1709	0	0	2500000	0	2500000	0	0
87	0	1529	2410	1375	2061	1694	2048	1715	0	0	2500000	0	2500000	0	0
88	0	1529	2425	1381	2073	1703	2052	1721	0	0	2500000	0	2500000	0	0
89	0	1544	2455	1372	2085	1697	2071	1727	0	0	2500000	0	2500000	0	0
90	0	1544	2470	1378	2112	1706	2090	1733	0	0	2500000	0	2500000	0	0
91	0	1544	2485	1369	2124	1700	2094	1739	0	0	2500000	0	2500000	0	0
92	0	1544	2515	1360	2136	1709	2113	1745	0	0	2500000	0	2500000	0	0
93	0	1544	2530	1351	2148	1703	2117	1736	0	0	2500000	0	2500000	0	0
94	0	1544	2545	1357	2160	1712	2136	1742	0	0	2500000	0	2500000	0	0
95	0	1544	2575	1348	2172	1706	2140	1748	0	0	2500000	0	2500000	0	0
96	0	1544	2590	1339	2184	1700	2159	1739	0	0	2500000	0	2500000	0	0
97	0	1544	2605	1330	2211	1709	2163	1745	0	0	2500000	0	2500000	0	0
98	0	1544	2635	1321	2223	1703	2167	1736	0	0	2500000	0	2500000	0	0
99	0	1544	2650	1312	2235	1697	2171	1742	0	0	2500000	0	2500000	0	0
100	0	1544	2665	1288	2247	1691	2190	1733	0	0	2500000	0	2500000	0	0
101	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
102	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
103	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
104	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
105	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
106	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
107	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
108	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
109	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
110	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
111	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
112	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
113	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
114	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
115	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
116	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
117	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
118	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
119	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
120	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
121	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
122	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
123	0	2500000	2500000	2500000	2500000	2500000	2500000	2500000	0	0	2500000	0	2500000	0	0
